title,container-title,year,issued,author,editor,publisher,volume,issue,page,type,container-ISSN,container-eISSN,container-ISBN,container-OCLC-number,DOI,wikidata-id,wikidata-url,URL,language
Wood Anatomy of Nepenthaceae,Bulletin of the Torrey Botanical Club,1981,1981-07,"Carlquist, S.",,,108,3,324-330,article-journal,0040-9618,2325-8055,,,10.2307/2484711,Q56020369,https://www.wikidata.org/wiki/Q56020369,https://www.jstor.org/stable/10.2307/2484711,en
Wood Anatomy of Pittosporaceae,Allertonia,1981,1981-03,"Carlquist, S.",,,2,7,355-392,article-journal,0735-8032,2328-1995,,,,Q91587762,https://www.wikidata.org/wiki/Q91587762,https://www.jstor.org/stable/10.2307/23186097,en
Wood Anatomy of Zygogynum (Winteraceae); Field Observations,Adansonia,1981,1981,"Carlquist, S.",,,3,,281-292,article-journal,,,,,,Q139107738,https://www.wikidata.org/wiki/Q139107738,,en
"Exospermum stipitatum (Winteraceae): Observations on Wood, Leaves, Flowers, Pollen, and Fruit",Aliso,1982,1982,"Carlquist, S.",,,10,2,277-289,article-journal,0065-6275,2327-2929,,,10.5642/aliso.19821002.07,Q139077268,https://www.wikidata.org/wiki/Q139077268,https://scholarship.claremont.edu/aliso/vol10/iss2/7,en
The Use of Ethylenediamine in Softening Hard Plant Structures for Paraffin Sectioning,Stain Technology,1982,1982-01,"Carlquist, S.",,,57,,311-317,article-journal,0038-9153,,,,10.3109/10520298209066729,Q70618524,https://www.wikidata.org/wiki/Q70618524,,en
Wood Anatomy of Buxaceae: Correlations with Ecology and Phylogeny,Flora,1982,1982,"Carlquist, S.",,,172,,463-491,article-journal,0367-2530,1618-0585,,,10.1016/s0367-2530(17)31357-9,Q139107739,https://www.wikidata.org/wiki/Q139107739,,en
"Wood Anatomy of Daphniphyllaceae: Ecological and Phylogenetic Considerations, Review of Pittosporalean Families",Brittonia,1982,1982-04,"Carlquist, S.",,,34,2,252-266,article-journal,0007-196X,1938-436X,,,10.2307/2806384,Q139077508,https://www.wikidata.org/wiki/Q139077508,https://www.jstor.org/stable/10.2307/2806384,en
"Wood Anatomy of Darwiniothamnus, Lecocarpus, and Macraea (Asteraceae)",Aliso,1982,1982,"Carlquist, S.; Eckhart, Vincent M.",,,10,2,291-300,article-journal,0065-6275,2327-2929,,,10.5642/aliso.19821002.08,Q139119299,https://www.wikidata.org/wiki/Q139119299,https://scholarship.claremont.edu/aliso/vol10/iss2/8,en
Wood Anatomy of Dipsacaceae,Taxon,1982,1982,"Carlquist, S.",,,34,,443-450,article-journal,0040-0262,1996-8175,,,10.2307/1220672,Q28955298,https://www.wikidata.org/wiki/Q28955298,,en
"Wood Anatomy of Illicium (Illiciaceae): Phylogenetic, Ecological, and Functional Interpretations",American Journal of Botany,1982,1982,"Carlquist, S.",,,69,,1587-1598,article-journal,0002-9122,1537-2197,,,10.1002/j.1537-2197.1982.tb13412.x,Q139077135,https://www.wikidata.org/wiki/Q139077135,,en
Wood Anatomy of Onagraceae: Further Species; Root Anatomy; Significance of Vestured Pits and Allied Structures in Dicotyledons,Annals of the Missouri Botanical Garden,1982,1982-01,"Carlquist, S.",,,69,4,755-769,article-journal,0026-6493,2162-4372,,,10.2307/2398995,Q56190766,https://www.wikidata.org/wiki/Q56190766,https://www.jstor.org/stable/10.2307/2398995,en
Wood and Bark Anatomy of Scalesia (Asteraceae),Aliso,1982,1982,"Carlquist, S.",,,10,2,301-312,article-journal,0065-6275,2327-2929,,,10.5642/aliso.19821002.09,Q139077269,https://www.wikidata.org/wiki/Q139077269,https://scholarship.claremont.edu/aliso/vol10/iss2/9,en
